0.028.3311.3;0.028.3311.3-30
0.028.3311.3-20;0.028.3311.3-10
0.028.7575.0.10-10;0.028.7623.3
0.028.9422.0.10-5;100201119
0.028.9423.0.10-10;0.028.9422.0.10-5
0.036.3077.3.10-20;0.036.3077.3.10-10
2790282;002790282-20
002790282-10;0
002790282-20;002790282-10
2790480;002790480-20
002790480-10;0
002790480-20;002790480-10
02021898-20;02021898-10
1.014.01.08-10;100101002
1.025.00.77-20;1.025.00.77-10
1.025.00.86.1-20;1.025.00.86.1-10
1.025.00.86.4;1.025.00.86.4-10
1.025.00.87.1-20;1.025.00.87.1-10
1.025.00.91.2-10;1.025.00.91.2-5
12789600;100050502
172768163-15;172768163-10
172B30-61020-10;172B30-61020-5
172B30-61020-5;100250509
172B30-61320-10;172B30-61320-5
172B30-61320-5;100250511
172B30-65810-20;172B30-65810-5
172B30-65810-5;100151103
172B34-62130-10;172B34-62130-5
172B34-62130-5;100151014
17AB73-64640-10;100101001
17AB73-64640-20;17AB73-64640-10
17AB73-65120-10;100151102
17AB73-65120-20;17AB73-65120-10
17AB73-65140;17AB73-65140-10
17AB73-65310-20;17AB73-65310-10
17AB73-65420;17AB73-65420-30
17AB73-65420-20;17AB73-65420-10
17AB73-65880-20;17AB73-65880-10
17AC02-61280-20;17AC02-61280-10
17AC02-61420;17AC02-61420-20
17AC02-61420-20;17AC02-61420-10
17AC02-61620-10;100151103
17AC02-61620-20;17AC02-61620-10
17AC02-61680-10;0
17AC02-61680-20;17AC02-61680-10
17AC02-65620-10;0
17AC02-65620-20;17AC02-65620-10
201129112-20;201129112-10
317517;317517-5
317517-5;0
323988;323988-30
323988-20;323988-10
323989;323989-40
44907482.1-20;44907482-10
47131910;47131910-10
47131911;47131911
47131911-20;47131911-10
47132382-10;0
47366601;47366601-10
47366646;47366646-10
47366674-20;0
47366742;47366742-10
47366743-20;47366743-10
47367822;47367822-10
47367983-20;47367983-10
47368007-20;47368007-10
47377389-20;47377389-10
47423268;47423268-10
47423269-20;47423269-10
47424455-20;47440791-10
47454634-30;47454634-20
47454635-20;47454635-10
47461113;47461113-10
47461116;47461116-10
47470596-20;47470596-10
47519964;47519964-5
47531892-10;100201119
47531917-10;100201119
47554191-30;47554191-10
47554201-30;47554201-10
47565796;47565796-60
47565796-30;84396434-20
47565796-60;47565796-50
47586200-20;47586200-10
47586204-27;47586204-25
47613461-20;47613461-10
47613462-20;47613462-10
47617800-20;47617800-10
47620332-20;47620332-10
47620335-20;47620335-10
47638446-20;47638446-10
